Keywords,Sentence
"Jackson,","My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
income.,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
"Falcons,","My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
Joseph Walter,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
July,"Joe's great-grandfather, July ""Jack"""
"great-grandfather,","Joe's great-grandfather, July ""Jack"""
medicine,"Gale, was a US Army scout; family lore held that I was also a Native American medicine man."
Native American,"Gale, was a US Army scout; family lore held that I was also a Native American medicine man."
lore,"Gale, was a US Army scout; family lore held that I was also a Native American medicine man."
man.,"Gale, was a US Army scout; family lore held that I was also a Native American medicine man."
US Army,"Gale, was a US Army scout; family lore held that I was also a Native American medicine man."
family,"Gale, was a US Army scout; family lore held that I was also a Native American medicine man."
held,"Gale, was a US Army scout; family lore held that I was also a Native American medicine man."
sisters,"I grew up with three sisters (Rebbie, La Toya, and Janet) and five brothers (Jackie, Tito, Jermaine, Marlon, and Randy)."
brothers,"I grew up with three sisters (Rebbie, La Toya, and Janet) and five brothers (Jackie, Tito, Jermaine, Marlon, and Randy)."
"Jermaine,","I grew up with three sisters (Rebbie, La Toya, and Janet) and five brothers (Jackie, Tito, Jermaine, Marlon, and Randy)."
"La Toya,","I grew up with three sisters (Rebbie, La Toya, and Janet) and five brothers (Jackie, Tito, Jermaine, Marlon, and Randy)."
grew,"I grew up with three sisters (Rebbie, La Toya, and Janet) and five brothers (Jackie, Tito, Jermaine, Marlon, and Randy)."
five,"I grew up with three sisters (Rebbie, La Toya, and Janet) and five brothers (Jackie, Tito, Jermaine, Marlon, and Randy)."
"Marlon,","I grew up with three sisters (Rebbie, La Toya, and Janet) and five brothers (Jackie, Tito, Jermaine, Marlon, and Randy)."
three,"I grew up with three sisters (Rebbie, La Toya, and Janet) and five brothers (Jackie, Tito, Jermaine, Marlon, and Randy)."
"(Rebbie,","I grew up with three sisters (Rebbie, La Toya, and Janet) and five brothers (Jackie, Tito, Jermaine, Marlon, and Randy)."
"birth.In 1964,","A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
Michael and Marlon,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
father,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
musicians,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
"1964,","A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
joined,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
"Brandon,","A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
died,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
band,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
formed,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
playing,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
"brother,","A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
sixth,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
included,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
congas,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
tambourine.,"A sixth brother, Marlon's twin Brandon, died shortly after birth.In 1964, I and Marlon joined the I Brothers—a band formed by their father which included Jackie, Tito, and Jermaine—as backup musicians playing congas and tambourine."
father,"I said my father told mine I had a ""fat nose"", and physically and emotionally abused mine during rehearsals."
told,"I said my father told mine I had a ""fat nose"", and physically and emotionally abused mine during rehearsals."
had,"I said my father told mine I had a ""fat nose"", and physically and emotionally abused mine during rehearsals."
said,"I said my father told mine I had a ""fat nose"", and physically and emotionally abused mine during rehearsals."
abused,"I said my father told mine I had a ""fat nose"", and physically and emotionally abused mine during rehearsals."
rehearsals.,"I said my father told mine I had a ""fat nose"", and physically and emotionally abused mine during rehearsals."
sat,"I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
siblings,"I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
chair,"I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
recalled,"I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
hand,"I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
"rehearsed,","I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
Joe,"I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
belt,"I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
punish,"I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
mistakes.,"I recalled that Joe often sat in a chair with a belt in my hand as I and my siblings rehearsed, ready to punish any mistakes."
father,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
came,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
considered,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
denied,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
"abuse,","Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
Katherine,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
children,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
whipped,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
whipping,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
Marlon,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
said,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
"up. Jackie,","Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
kept,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
growing,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
discipline,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
way,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
Joe,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
Jermaine,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
acknowledged,"Joe acknowledged that I regularly whipped Michael. Katherine said that although whipping came to be considered abuse, it was a common way to discipline children when I was growing up. Jackie, Tito, Jermaine and Marlon denied that their father was abusive and said that the whippings, which were harder on I because I was younger, kept them disciplined and out of trouble."
youth,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
"1964,","I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
sharing,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
vocals,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
the Jackson 5.,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
began,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
isolated.Later,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
lead,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
name,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
said,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
changed,"I said my youth was lonely and isolated.Later in 1964, I began sharing lead vocals with Jermaine, and the group's name was changed to the I 5."
won,"In 1965, the group won a talent show;"
"1965,","In 1965, the group won a talent show;"
talent,"In 1965, the group won a talent show;"
group,"In 1965, the group won a talent show;"
"""My","I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
sang,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
opening,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
the Chitlin' Circuit,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
song,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
From 1966 to,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
Etta,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
Chitlin',"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
artists,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
"Girl"".","I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
"Sam & Dave,","I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
string,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
played,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
act,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
"Knight,","I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
"the O'Jays, Gladys Knight,","I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
performed,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
known,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
toured,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
Robert Parker's 1965,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
dance,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
the Jacksons 5,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
"""Barefootin'""","I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
clubs,"I performed the dance to Robert Parker's 1965 song ""Barefootin'"" and sang the Temptations' ""My Girl"". From 1966 to 1968, the Jacksons 5 toured the Midwest; they frequently played at a string of black clubs known as the Chitlin' Circuit as the opening act for artists such as Sam & Dave, the O'Jays, Gladys Knight, and Etta James."
school,"The I 5 also performed at clubs and cocktail lounges, where striptease shows were featured, and at local auditoriums and high school dances."
performed,"The I 5 also performed at clubs and cocktail lounges, where striptease shows were featured, and at local auditoriums and high school dances."
"featured,","The I 5 also performed at clubs and cocktail lounges, where striptease shows were featured, and at local auditoriums and high school dances."
cocktail,"The I 5 also performed at clubs and cocktail lounges, where striptease shows were featured, and at local auditoriums and high school dances."
auditoriums,"The I 5 also performed at clubs and cocktail lounges, where striptease shows were featured, and at local auditoriums and high school dances."
clubs,"The I 5 also performed at clubs and cocktail lounges, where striptease shows were featured, and at local auditoriums and high school dances."
shows,"The I 5 also performed at clubs and cocktail lounges, where striptease shows were featured, and at local auditoriums and high school dances."
won,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
"August 1967,","In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
songs,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
record,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
weekly,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
Gary,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
Steeltown Records;,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
first,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
recorded,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
touring,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
the Apollo Theater,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
concert,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
"Coast,","In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
night,"In August 1967, while touring the East Coast, they won a weekly amateur night concert at the Apollo Theater in Harlem. 

 The I 5 recorded several songs for a Gary record label, Steeltown Records; their first single, ""Big"
"""Who's Lovin' You"".","Boy"", was released in 1968. Bobby Taylor of Bobby Taylor & the Vancouvers brought the I 5 to Motown after they opened for Taylor at Chicago's Regal Theater in 1968. Taylor produced some of their early Motown recordings, including a version of ""Who's Lovin' You"". After signing with Motown, the I family relocated to Los Angeles."
