Keywords,Sentence
worked,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
the Ministry of Finance.,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
third,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
returned,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
the Senior Economic Analyst,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
government,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
time,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
Obama Sr.,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
married,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
killed,"I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
visited,"I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
years,"I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
Hawaii,"I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
"Christmas 1971,","I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
accident,"I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
"1982,","I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
son,"I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
21 years,"I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
automobile,"I visited my son in Hawaii only once, at Christmas 1971, before I was killed in an automobile accident in 1982, when I was 21 years old."
"childhood,","Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
registered,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
perceptions,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
father,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
met,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
Recalling,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
Lolo Soetoro,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
the University of Hawaii;,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
graduate,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
Indonesian,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
mother,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
adult,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
reconcile,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
looked,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
Obama said:,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
described,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
people,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
student,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
struggles,"Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
"mind.""","Recalling my early childhood, I said: ""That my father looked nothing like the people around me—that I was black as pitch, my mother white as milk—barely registered in my mind."" I described my struggles as a young adult to reconcile social perceptions of my multiracial heritage.In 1963, Dunham met Lolo Soetoro at the University of Hawaii; I was an Indonesian East–West Center graduate student in geography."
Lolo,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
Molokai,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
"March 15, 1965.","The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
couple,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
two,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
Indonesia,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
J-1,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
1966.,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
sixteen months later,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
stepson,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
1965.,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
returned,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
wife,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
extensions,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
months,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
married,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
followed,"The couple married on Molokai on March 15, 1965. After two one-year extensions of my J-1 visa, Lolo returned to Indonesia in 1966. my wife and stepson followed sixteen months later in 1967."
Menteng Dalam,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
South Jakarta.,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
Menteng,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
stepfather.,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
join,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
family,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
Indonesia,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
age six,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
neighborhood,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
attended,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
mother,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
district,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
Indonesian-language,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
age,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
moved,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
lived,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
"ten,","The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
Tebet,"The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
"1970,","The family initially lived in the Menteng Dalam neighborhood in the Tebet district of South Jakarta. From 1970, they lived in a wealthier neighborhood in the Menteng district of Central Jakarta.At the age of six, I and my mother had moved to Indonesia to join my stepfather. From age six to ten, I attended local Indonesian-language schools: Sekolah Dasar Katolik"
years,Santo Fransiskus Asisi (St. Francis of Assisi Catholic Elementary School) for two years and Sekolah Dasar Negeri Menteng 01
Negeri Menteng,Santo Fransiskus Asisi (St. Francis of Assisi Catholic Elementary School) for two years and Sekolah Dasar Negeri Menteng 01
Sekolah Dasar,Santo Fransiskus Asisi (St. Francis of Assisi Catholic Elementary School) for two years and Sekolah Dasar Negeri Menteng 01
two years,Santo Fransiskus Asisi (St. Francis of Assisi Catholic Elementary School) for two years and Sekolah Dasar Negeri Menteng 01
Francis,Santo Fransiskus Asisi (St. Francis of Assisi Catholic Elementary School) for two years and Sekolah Dasar Negeri Menteng 01
01,Santo Fransiskus Asisi (St. Francis of Assisi Catholic Elementary School) for two years and Sekolah Dasar Negeri Menteng 01
supplemented,"(state Elementary School Menteng 01) for one and a half years, supplemented by English-language Calvert School homeschooling by my mother."
half,"(state Elementary School Menteng 01) for one and a half years, supplemented by English-language Calvert School homeschooling by my mother."
homeschooling,"(state Elementary School Menteng 01) for one and a half years, supplemented by English-language Calvert School homeschooling by my mother."
one and a half,"(state Elementary School Menteng 01) for one and a half years, supplemented by English-language Calvert School homeschooling by my mother."
Calvert School,"(state Elementary School Menteng 01) for one and a half years, supplemented by English-language Calvert School homeschooling by my mother."
Elementary School Menteng,"(state Elementary School Menteng 01) for one and a half years, supplemented by English-language Calvert School homeschooling by my mother."
mother.,"(state Elementary School Menteng 01) for one and a half years, supplemented by English-language Calvert School homeschooling by my mother."
child.,"As a result of my four years in Jakarta, I was able to speak Indonesian fluently as a child."
years,"As a result of my four years in Jakarta, I was able to speak Indonesian fluently as a child."
speak,"As a result of my four years in Jakarta, I was able to speak Indonesian fluently as a child."
Indonesian,"As a result of my four years in Jakarta, I was able to speak Indonesian fluently as a child."
four years,"As a result of my four years in Jakarta, I was able to speak Indonesian fluently as a child."
"Jakarta,","As a result of my four years in Jakarta, I was able to speak Indonesian fluently as a child."
result,"As a result of my four years in Jakarta, I was able to speak Indonesian fluently as a child."
